hannah_robot_kinetic,hannah_human_kinetic,tracy_robot_kinetic,tracy_human_kinetic,hannah_robot_effort,hannah_human_effort,tracy_robot_effort,tracy_human_effort
24.8067,26.3865,0.0000,0.0000,258.9858,986.6466,0.0000,0.0000
35.0710,35.0984,0.0000,0.0000,200.1742,817.1189,0.0000,0.0000
39.1541,39.4755,0.0000,0.0000,184.5507,848.2222,0.0000,0.0000
41.7680,42.1395,0.0000,0.0000,171.9882,840.2303,0.0000,0.0000
44.2806,44.6617,0.0000,0.0000,168.7644,863.9228,0.0000,0.0000
46.7988,47.2048,0.0000,0.0000,166.6589,900.1602,0.0000,0.0000
49.1911,49.5856,0.0000,0.0000,171.2665,959.4366,0.0000,0.0000
50.6340,51.0128,0.0000,0.0000,176.2569,1006.9586,0.0000,0.0000
55.0073,55.3312,0.0000,0.0000,212.0395,1303.0474,0.0000,0.0000
58.2204,58.9232,0.0000,0.0000,360.6559,1922.6348,0.0000,0.0000
63.0067,62.9735,0.0000,0.0000,444.8388,2232.8219,0.0000,0.0000
75.1034,74.3860,0.0000,0.0000,929.7042,3969.0754,0.0000,0.0000
75.1034,74.3860,0.0000,0.0000,929.7042,3969.0754,0.0000,0.0000
96.6341,90.9147,0.0000,0.0000,2295.7850,8457.3622,0.0000,0.0000
118.6212,112.2670,0.0000,0.0000,8932.2509,30288.3334,0.0000,0.0000
6.5217,8.2415,0.0000,0.0000,3920.7102,8202.8160,0.0000,0.0000
6.5217,8.2415,0.0000,0.0000,3920.7102,8202.8160,0.0000,0.0000
36.2260,22.6438,0.0000,0.0000,9068.9851,25203.2968,0.0000,0.0000
763.9513,812.0406,0.0000,0.0000,12325.1073,55998.4178,0.0000,0.0000
666.0382,683.7937,0.0000,0.0000,2591.8871,23687.0456,0.0000,0.0000
343.9284,348.6754,0.0000,0.0000,6976.3072,29672.4766,0.0000,0.0000
180.4248,190.7232,0.0000,0.0000,4974.5472,16266.2898,0.0000,0.0000
101.9925,108.3146,0.0000,0.0000,3056.8622,9713.4895,0.0000,0.0000
48.6420,23.9221,0.0000,0.0000,1621.3642,3151.8556,0.0000,0.0000
21.9797,23.9221,0.0000,0.0000,915.0833,3151.8556,0.0000,0.0000
6.0755,6.2365,0.0000,0.0000,549.2328,1673.6577,0.0000,0.0000
