hannah_robot_kinetic,hannah_human_kinetic,tracy_robot_kinetic,tracy_human_kinetic,hannah_robot_effort,hannah_human_effort,tracy_robot_effort,tracy_human_effort
4.8125,5.1321,0.0000,0.0000,40.0646,86.8973,0.0000,0.0000
4.8302,5.0808,0.0000,0.0000,31.8264,68.7591,0.0000,0.0000
4.8625,4.9940,0.0000,0.0000,85.9144,241.1071,0.0000,0.0000
5.6132,5.6535,0.0000,0.0000,54.2542,159.8681,0.0000,0.0000
6.5731,6.6632,0.0000,0.0000,48.6105,142.8629,0.0000,0.0000
7.6028,7.8086,0.0000,0.0000,30.4019,102.8268,0.0000,0.0000
8.1852,8.5118,0.0000,0.0000,25.6077,87.1414,0.0000,0.0000
8.7293,9.1186,0.0000,0.0000,31.1089,79.6939,0.0000,0.0000
8.7293,9.1186,0.0000,0.0000,31.1089,79.6939,0.0000,0.0000
8.8981,9.3407,0.0000,0.0000,32.7540,91.4591,0.0000,0.0000
8.8899,9.3519,0.0000,0.0000,34.4397,100.0975,0.0000,0.0000
8.7486,9.2006,0.0000,0.0000,36.3397,104.6622,0.0000,0.0000
8.4348,8.8838,0.0000,0.0000,35.1800,100.9549,0.0000,0.0000
7.9676,8.3835,0.0000,0.0000,343.4585,717.6017,0.0000,0.0000
8.9293,10.4763,0.0000,0.0000,198.2621,453.2782,0.0000,0.0000
10.1362,12.5450,0.0000,0.0000,122.5551,309.6050,0.0000,0.0000
10.4155,13.3717,0.0000,0.0000,82.7351,244.9536,0.0000,0.0000
10.1770,13.4056,0.0000,0.0000,67.6031,216.4799,0.0000,0.0000
10.1770,13.4056,0.0000,0.0000,67.6031,216.4799,0.0000,0.0000
9.6472,12.9194,0.0000,0.0000,70.3597,220.1219,0.0000,0.0000
8.9087,11.9855,0.0000,0.0000,104.3054,288.1796,0.0000,0.0000
8.0682,10.9018,0.0000,0.0000,121.0007,313.5799,0.0000,0.0000
7.2396,9.6969,0.0000,0.0000,122.1364,301.4211,0.0000,0.0000
6.4911,8.7852,0.0000,0.0000,564.3576,1271.5946,0.0000,0.0000
10.8358,15.4795,0.0000,0.0000,388.0847,856.5616,0.0000,0.0000
14.2106,20.4992,0.0000,0.0000,301.4423,668.0470,0.0000,0.0000
17.5928,25.7282,0.0000,0.0000,134.8036,308.9115,0.0000,0.0000
17.5928,25.7282,0.0000,0.0000,134.8036,308.9115,0.0000,0.0000
18.3526,27.1141,0.0000,0.0000,90.9762,207.1754,0.0000,0.0000
17.9776,26.8345,0.0000,0.0000,103.6265,232.1947,0.0000,0.0000
16.8299,25.3312,0.0000,0.0000,166.2819,369.7298,0.0000,0.0000
15.2538,20.1570,0.0000,0.0000,215.4767,526.2848,0.0000,0.0000
11.9149,17.4738,0.0000,0.0000,243.2422,522.2160,0.0000,0.0000
11.7579,16.6159,0.0000,0.0000,951.6280,2341.4891,0.0000,0.0000
