hannah_robot_kinetic,hannah_human_kinetic,tracy_robot_kinetic,tracy_human_kinetic,hannah_robot_effort,hannah_human_effort,tracy_robot_effort,tracy_human_effort
0.5222,0.5393,0.0000,0.0000,5.7229,20.9716,0.0000,0.0000
0.6406,0.6671,0.0000,0.0000,6.1646,12.9457,0.0000,0.0000
0.6146,0.6411,0.0000,0.0000,7.2616,14.2496,0.0000,0.0000
0.5852,0.6137,0.0000,0.0000,7.6379,15.4991,0.0000,0.0000
0.6390,0.6500,0.0000,0.0000,11.3288,44.2858,0.0000,0.0000
0.8068,0.8228,0.0000,0.0000,8.5997,38.6256,0.0000,0.0000
1.0377,1.0535,0.0000,0.0000,5.0373,28.0449,0.0000,0.0000
1.1279,1.1584,0.0000,0.0000,3.6984,21.8199,0.0000,0.0000
1.1998,1.2347,0.0000,0.0000,3.0324,16.2280,0.0000,0.0000
1.2288,1.2669,0.0000,0.0000,3.8189,14.7870,0.0000,0.0000
1.2358,1.2745,0.0000,0.0000,4.1534,14.6738,0.0000,0.0000
1.2320,1.2713,0.0000,0.0000,5.4609,14.4361,0.0000,0.0000
1.1882,1.2297,0.0000,0.0000,6.8541,17.0733,0.0000,0.0000
1.0657,1.0988,0.0000,0.0000,5.3903,15.7887,0.0000,0.0000
1.4114,1.4272,0.0000,0.0000,43.7801,101.8585,0.0000,0.0000
1.8848,1.9178,0.0000,0.0000,32.1067,74.5810,0.0000,0.0000
2.1066,2.1519,0.0000,0.0000,22.2786,50.8775,0.0000,0.0000
2.1814,2.2440,0.0000,0.0000,5.3478,17.6012,0.0000,0.0000
2.0607,2.1254,0.0000,0.0000,8.4577,24.6104,0.0000,0.0000
1.7481,1.8228,0.0000,0.0000,13.0647,35.5120,0.0000,0.0000
1.4535,1.5082,0.0000,0.0000,14.5347,38.0006,0.0000,0.0000
4.3599,4.4674,0.0000,0.0000,99.2744,282.8280,0.0000,0.0000
5.8043,5.8628,0.0000,0.0000,74.1021,217.1314,0.0000,0.0000
7.1278,7.2526,0.0000,0.0000,38.7696,117.8741,0.0000,0.0000
7.6378,7.8036,0.0000,0.0000,14.4020,46.4398,0.0000,0.0000
7.6762,7.8581,0.0000,0.0000,9.8921,29.1031,0.0000,0.0000
7.1346,7.3392,0.0000,0.0000,28.4344,88.0013,0.0000,0.0000
5.6273,5.7607,0.0000,0.0000,40.2167,125.9609,0.0000,0.0000
5.6273,5.7607,0.0000,0.0000,40.2167,125.9609,0.0000,0.0000
4.5950,4.7557,0.0000,0.0000,40.2366,127.7914,0.0000,0.0000
3.4530,3.5838,0.0000,0.0000,185.4627,545.6909,0.0000,0.0000
7.4917,7.4612,0.0000,0.0000,201.2401,572.3739,0.0000,0.0000
11.5674,11.8986,0.0000,0.0000,167.2958,471.8377,0.0000,0.0000
14.6274,15.0592,0.0000,0.0000,101.9085,275.0051,0.0000,0.0000
16.0609,16.4907,0.0000,0.0000,53.0123,125.4909,0.0000,0.0000
15.5547,16.0359,0.0000,0.0000,56.2996,182.2689,0.0000,0.0000
15.5547,16.0359,0.0000,0.0000,56.2996,182.2689,0.0000,0.0000
13.9284,14.4612,0.0000,0.0000,79.5744,246.9318,0.0000,0.0000
12.0875,12.4709,0.0000,0.0000,94.7201,284.4660,0.0000,0.0000
9.8943,10.3257,0.0000,0.0000,97.7663,288.5446,0.0000,0.0000
7.8671,8.2298,0.0000,0.0000,93.5898,270.9812,0.0000,0.0000
10.7101,10.6501,0.0000,0.0000,437.9128,1086.5661,0.0000,0.0000
25.0342,25.9654,0.0000,0.0000,248.1542,579.1565,0.0000,0.0000
25.0342,25.9654,0.0000,0.0000,248.1542,579.1565,0.0000,0.0000
28.4786,29.4206,0.0000,0.0000,134.9822,288.3160,0.0000,0.0000
29.7750,30.9249,0.0000,0.0000,25.6824,139.9078,0.0000,0.0000
29.0905,30.2099,0.0000,0.0000,77.6520,281.0178,0.0000,0.0000
26.3300,27.5092,0.0000,0.0000,149.6763,441.4101,0.0000,0.0000
23.2640,24.3634,0.0000,0.0000,184.1756,514.8556,0.0000,0.0000
20.2182,21.0094,0.0000,0.0000,200.9504,540.3842,0.0000,0.0000
15.7994,16.4188,0.0000,0.0000,201.8614,1773.8562,0.0000,0.0000
17.9439,18.6791,0.0000,0.0000,756.1378,1773.8562,0.0000,0.0000
27.9057,29.1063,0.0000,0.0000,656.9933,1509.7451,0.0000,0.0000
38.0805,39.7692,0.0000,0.0000,449.4459,970.1250,0.0000,0.0000
43.8747,45.8526,0.0000,0.0000,248.8264,537.6335,0.0000,0.0000
46.2641,48.3463,0.0000,0.0000,55.2975,240.7091,0.0000,0.0000
44.8209,46.8863,0.0000,0.0000,172.3368,509.3881,0.0000,0.0000
38.3632,40.1403,0.0000,0.0000,303.7699,790.0057,0.0000,0.0000
33.5657,35.1155,0.0000,0.0000,342.8838,858.5722,0.0000,0.0000
28.2024,29.4958,0.0000,0.0000,354.0417,849.1047,0.0000,0.0000
24.1468,25.2515,0.0000,0.0000,1230.2320,2928.3169,0.0000,0.0000
43.3279,45.3529,0.0000,0.0000,1035.5933,2486.7126,0.0000,0.0000
63.3831,65.6189,0.0000,0.0000,670.3937,1583.4868,0.0000,0.0000
75.8101,79.2752,0.0000,0.0000,56.2589,219.9683,0.0000,0.0000
75.8101,79.2752,0.0000,0.0000,56.2589,219.9683,0.0000,0.0000
73.2836,76.8500,0.0000,0.0000,261.2279,712.0041,0.0000,0.0000
68.5785,71.6713,0.0000,0.0000,385.1027,967.0422,0.0000,0.0000
58.8460,61.4919,0.0000,0.0000,494.7322,1200.4493,0.0000,0.0000
49.2231,51.4353,0.0000,0.0000,523.6402,1252.8086,0.0000,0.0000
40.0728,41.8748,0.0000,0.0000,515.8154,1219.1735,0.0000,0.0000
30.6320,32.0105,0.0000,0.0000,460.7693,1105.7497,0.0000,0.0000
48.0237,49.1056,0.0000,0.0000,924.8917,2443.4452,0.0000,0.0000
74.8254,77.6865,0.0000,0.0000,293.6900,805.6133,0.0000,0.0000
74.8254,77.6865,0.0000,0.0000,293.6900,805.6133,0.0000,0.0000
78.4322,81.8298,0.0000,0.0000,101.4983,357.0940,0.0000,0.0000
76.8909,80.2162,0.0000,0.0000,315.0541,835.9095,0.0000,0.0000
70.2662,73.7070,0.0000,0.0000,470.2524,1210.0349,0.0000,0.0000
62.9189,65.6352,0.0000,0.0000,538.5326,1367.5608,0.0000,0.0000
53.1669,55.4439,0.0000,0.0000,566.9243,1411.8502,0.0000,0.0000
36.6572,38.2121,0.0000,0.0000,522.5839,1240.8554,0.0000,0.0000
37.6209,39.1882,0.0000,0.0000,715.1577,1832.5375,0.0000,0.0000
50.6849,52.7908,0.0000,0.0000,496.5797,1197.0182,0.0000,0.0000
59.2149,61.3359,0.0000,0.0000,263.6723,680.0383,0.0000,0.0000
62.8944,65.4435,0.0000,0.0000,71.5948,307.5312,0.0000,0.0000
62.1628,64.8673,0.0000,0.0000,193.4951,643.3101,0.0000,0.0000
57.5614,60.2169,0.0000,0.0000,337.3828,917.9200,0.0000,0.0000
45.9340,47.7928,0.0000,0.0000,440.2313,1049.1279,0.0000,0.0000
45.9340,47.7928,0.0000,0.0000,440.2313,1049.1279,0.0000,0.0000
38.3407,39.8702,0.0000,0.0000,439.2375,1001.2299,0.0000,0.0000
31.6755,33.3165,0.0000,0.0000,416.1671,923.4809,0.0000,0.0000
29.2035,30.3459,0.0000,0.0000,497.1923,1238.0998,0.0000,0.0000
37.3067,38.3766,0.0000,0.0000,356.0963,973.7083,0.0000,0.0000
45.0423,46.8519,0.0000,0.0000,97.3688,372.7608,0.0000,0.0000
45.0332,46.8436,0.0000,0.0000,110.3840,370.6399,0.0000,0.0000
43.2452,45.2144,0.0000,0.0000,159.6400,443.0387,0.0000,0.0000
33.1478,34.4918,0.0000,0.0000,257.8565,789.0830,0.0000,0.0000
26.6055,28.0494,0.0000,0.0000,265.5454,848.6982,0.0000,0.0000
20.0279,21.1749,0.0000,0.0000,246.8606,792.6661,0.0000,0.0000
15.2660,15.8986,0.0000,0.0000,170.8076,508.0228,0.0000,0.0000
16.5807,17.3411,0.0000,0.0000,89.2528,257.8436,0.0000,0.0000
16.9554,17.7737,0.0000,0.0000,22.9672,133.5283,0.0000,0.0000
15.4841,16.2624,0.0000,0.0000,67.3987,191.5661,0.0000,0.0000
13.6485,14.3387,0.0000,0.0000,88.0506,223.6009,0.0000,0.0000
12.0110,12.6172,0.0000,0.0000,96.0066,233.6448,0.0000,0.0000
10.3076,10.8243,0.0000,0.0000,96.8914,231.7393,0.0000,0.0000
8.5343,9.0638,0.0000,0.0000,92.6198,220.9790,0.0000,0.0000
6.3447,6.7432,0.0000,0.0000,80.3532,191.4324,0.0000,0.0000
5.1039,5.3434,0.0000,0.0000,70.1381,166.5258,0.0000,0.0000
6.0821,6.3870,0.0000,0.0000,65.1328,160.3457,0.0000,0.0000
6.9029,7.2584,0.0000,0.0000,46.3336,116.0541,0.0000,0.0000
7.3546,7.7307,0.0000,0.0000,20.3153,55.2624,0.0000,0.0000
7.2886,7.6706,0.0000,0.0000,19.8280,52.4385,0.0000,0.0000
6.7920,7.1473,0.0000,0.0000,29.4409,76.6613,0.0000,0.0000
6.0261,6.3843,0.0000,0.0000,38.1055,96.5546,0.0000,0.0000
5.3479,5.6731,0.0000,0.0000,41.6062,104.1162,0.0000,0.0000
4.5880,4.8721,0.0000,0.0000,42.0072,104.0367,0.0000,0.0000
3.7034,3.9363,0.0000,0.0000,39.6946,97.6814,0.0000,0.0000
2.9713,3.1168,0.0000,0.0000,35.6351,87.7584,0.0000,0.0000
2.5918,2.6841,0.0000,0.0000,47.0781,106.8626,0.0000,0.0000
3.5142,3.6831,0.0000,0.0000,18.1738,40.9490,0.0000,0.0000
3.6386,3.8296,0.0000,0.0000,3.7196,11.9788,0.0000,0.0000
3.5296,3.7156,0.0000,0.0000,8.5755,27.0257,0.0000,0.0000
3.3281,3.5031,0.0000,0.0000,14.2966,40.1775,0.0000,0.0000
2.9245,3.1010,0.0000,0.0000,19.1032,51.0353,0.0000,0.0000
2.2063,1.9571,0.0000,0.0000,18.8681,47.6196,0.0000,0.0000
1.8584,1.9571,0.0000,0.0000,20.2587,47.6196,0.0000,0.0000
1.4487,1.5257,0.0000,0.0000,19.3249,44.6803,0.0000,0.0000
1.1536,1.2329,0.0000,0.0000,17.5186,40.7611,0.0000,0.0000
1.2312,1.2744,0.0000,0.0000,11.6906,38.3380,0.0000,0.0000
1.3873,1.4624,0.0000,0.0000,8.8418,38.8661,0.0000,0.0000
1.4446,1.5226,0.0000,0.0000,10.5195,43.7086,0.0000,0.0000
1.3995,1.4762,0.0000,0.0000,12.5875,47.0383,0.0000,0.0000
1.3076,1.2238,0.0000,0.0000,13.8900,45.7852,0.0000,0.0000
0.9634,1.0275,0.0000,0.0000,14.3569,42.6000,0.0000,0.0000
0.8061,0.8514,0.0000,0.0000,13.5895,39.1313,0.0000,0.0000
0.6523,0.6974,0.0000,0.0000,12.4219,35.5735,0.0000,0.0000
0.5475,0.5852,0.0000,0.0000,11.3606,32.5702,0.0000,0.0000
0.5824,0.6055,0.0000,0.0000,10.1354,31.0731,0.0000,0.0000
0.6866,0.7177,0.0000,0.0000,10.0139,37.2881,0.0000,0.0000
0.7591,0.7995,0.0000,0.0000,10.6431,41.9800,0.0000,0.0000
0.7410,0.7826,0.0000,0.0000,10.7738,42.3240,0.0000,0.0000
0.7058,0.7438,0.0000,0.0000,10.8762,42.3412,0.0000,0.0000
0.6350,0.6727,0.0000,0.0000,11.1458,41.5968,0.0000,0.0000
