hannah_robot_kinetic,hannah_human_kinetic,tracy_robot_kinetic,tracy_human_kinetic,hannah_robot_effort,hannah_human_effort,tracy_robot_effort,tracy_human_effort
102.2224,103.8101,0.0000,0.0000,1744.5429,6874.0731,0.0000,0.0000
109.7878,112.3243,0.0000,0.0000,1583.9939,7566.3935,0.0000,0.0000
115.1726,117.3918,0.0000,0.0000,1527.4939,8495.0492,0.0000,0.0000
125.2509,126.3635,0.0000,0.0000,1568.5779,9433.2405,0.0000,0.0000
131.4361,133.2355,0.0000,0.0000,1554.1773,9411.7474,0.0000,0.0000
143.9789,145.3447,0.0000,0.0000,891.3125,7896.4020,0.0000,0.0000
165.2075,166.6144,0.0000,0.0000,1102.0766,6678.4219,0.0000,0.0000
168.7716,171.7171,0.0000,0.0000,1301.2164,5917.1603,0.0000,0.0000
168.7716,171.7171,0.0000,0.0000,1301.2164,5917.1603,0.0000,0.0000
167.4452,171.4135,0.0000,0.0000,1418.7818,5873.4907,0.0000,0.0000
161.3943,165.6068,0.0000,0.0000,1290.9596,5624.7519,0.0000,0.0000
150.2988,154.3115,0.0000,0.0000,1065.5812,4876.8412,0.0000,0.0000
122.1032,127.5377,0.0000,0.0000,997.3980,4563.2650,0.0000,0.0000
101.8067,105.6417,0.0000,0.0000,910.9288,4029.9188,0.0000,0.0000
83.1683,87.5112,0.0000,0.0000,810.9975,3629.4418,0.0000,0.0000
68.1965,70.8218,0.0000,0.0000,725.7560,3237.5384,0.0000,0.0000
54.3164,56.4363,0.0000,0.0000,641.9744,2793.7882,0.0000,0.0000
43.4478,45.8617,0.0000,0.0000,591.3935,2509.7824,0.0000,0.0000
26.2723,27.2514,0.0000,0.0000,475.5024,1807.6775,0.0000,0.0000
20.0290,21.0366,0.0000,0.0000,392.7749,1439.8908,0.0000,0.0000
16.3108,16.8679,0.0000,0.0000,348.5484,1179.7628,0.0000,0.0000
16.3108,16.8679,0.0000,0.0000,348.5484,1179.7628,0.0000,0.0000
13.7632,14.2107,0.0000,0.0000,318.1477,990.0272,0.0000,0.0000
11.4221,11.8737,0.0000,0.0000,325.2708,828.5153,0.0000,0.0000
16.9255,18.0852,0.0000,0.0000,3897.5205,7955.4208,0.0000,0.0000
74.0161,88.5225,0.0000,0.0000,5721.1793,13476.9298,0.0000,0.0000
233.7506,267.0448,0.0000,0.0000,9571.5486,25230.8682,0.0000,0.0000
318.8680,360.2082,0.0000,0.0000,5443.8540,20379.5959,0.0000,0.0000
1592.5609,1734.0906,0.0000,0.0000,29999.5155,114675.5624,0.0000,0.0000
1285.4237,1327.1740,0.0000,0.0000,6600.9607,44773.8296,0.0000,0.0000
887.1420,938.6784,0.0000,0.0000,9296.8919,37929.7574,0.0000,0.0000
680.2087,726.1336,0.0000,0.0000,8479.2504,32627.6697,0.0000,0.0000
465.7357,504.2800,0.0000,0.0000,7258.0085,26670.4057,0.0000,0.0000
326.3641,351.0895,0.0000,0.0000,6131.2804,19564.4030,0.0000,0.0000
177.0487,198.6637,0.0000,0.0000,3331.4371,10718.9088,0.0000,0.0000
138.3528,155.3335,0.0000,0.0000,2424.3636,7993.5094,0.0000,0.0000
121.2074,134.8545,0.0000,0.0000,2133.3935,6718.3217,0.0000,0.0000
121.2074,134.8545,0.0000,0.0000,2133.3935,6718.3217,0.0000,0.0000
112.1774,122.4734,0.0000,0.0000,1873.9330,5600.0324,0.0000,0.0000
107.4813,115.2910,0.0000,0.0000,1722.4764,4959.9950,0.0000,0.0000
105.9655,112.0568,0.0000,0.0000,1612.9886,4674.0776,0.0000,0.0000
105.0076,108.6145,0.0000,0.0000,1363.2192,4005.3921,0.0000,0.0000
104.6770,107.1846,0.0000,0.0000,1208.6710,3583.2698,0.0000,0.0000
104.6770,109.1179,0.0000,0.0000,1208.6710,2005.4393,0.0000,0.0000
111.5908,114.1302,0.0000,0.0000,395.2325,1798.1159,0.0000,0.0000
114.3740,117.2304,0.0000,0.0000,376.7583,1691.6589,0.0000,0.0000
