hannah_robot_kinetic,hannah_human_kinetic,tracy_robot_kinetic,tracy_human_kinetic,hannah_robot_effort,hannah_human_effort,tracy_robot_effort,tracy_human_effort
0.3383,0.3995,0.0000,0.0000,56.6379,194.0797,0.0000,0.0000
2.7064,3.1871,0.0000,0.0000,118.0156,405.9377,0.0000,0.0000
4.8909,5.7673,0.0000,0.0000,126.1624,433.4686,0.0000,0.0000
7.0119,8.1498,0.0000,0.0000,110.9105,375.7112,0.0000,0.0000
21.7455,25.2567,0.0000,0.0000,340.6005,1211.6306,0.0000,0.0000
29.7737,34.4238,0.0000,0.0000,228.8527,841.5538,0.0000,0.0000
33.2974,38.2253,0.0000,0.0000,138.5174,537.1186,0.0000,0.0000
0.3383,0.3995,0.0000,0.0000,56.6379,194.0797,0.0000,0.0000
2.7064,3.1871,0.0000,0.0000,118.0156,405.9377,0.0000,0.0000
4.8909,5.7673,0.0000,0.0000,126.1624,433.4686,0.0000,0.0000
7.0119,8.1498,0.0000,0.0000,110.9105,375.7112,0.0000,0.0000
21.7455,25.2567,0.0000,0.0000,340.6005,1211.6306,0.0000,0.0000
29.7737,34.4238,0.0000,0.0000,228.8527,841.5538,0.0000,0.0000
33.2974,38.2253,0.0000,0.0000,138.5174,537.1186,0.0000,0.0000
44.0312,51.1036,0.0000,0.0000,576.4982,2014.7411,0.0000,0.0000
53.6630,62.1325,0.0000,0.0000,351.5523,1242.1894,0.0000,0.0000
33.2974,38.2253,0.0000,0.0000,138.5174,537.1186,0.0000,0.0000
44.0312,51.1036,0.0000,0.0000,576.4982,2014.7411,0.0000,0.0000
53.6630,62.1325,0.0000,0.0000,351.5523,1242.1894,0.0000,0.0000
53.6630,62.1325,0.0000,0.0000,351.5523,1242.1894,0.0000,0.0000
58.3768,68.1265,0.0000,0.0000,112.0273,445.4210,0.0000,0.0000
69.2910,81.6503,0.0000,0.0000,317.6344,1107.9918,0.0000,0.0000
72.6102,86.3989,0.0000,0.0000,105.5095,448.6556,0.0000,0.0000
71.4505,85.2831,0.0000,0.0000,235.7261,835.2016,0.0000,0.0000
73.8003,88.8768,0.0000,0.0000,414.5823,1219.2187,0.0000,0.0000
73.9709,89.8256,0.0000,0.0000,227.8588,985.2955,0.0000,0.0000
65.3611,79.8938,0.0000,0.0000,319.4592,1360.1155,0.0000,0.0000
62.3231,76.5190,0.0000,0.0000,235.1336,1185.9133,0.0000,0.0000
57.0499,70.6221,0.0000,0.0000,303.3950,1282.2627,0.0000,0.0000
49.0232,60.4590,0.0000,0.0000,388.4087,1364.3544,0.0000,0.0000
43.0779,54.3429,0.0000,0.0000,427.6890,1951.7741,0.0000,0.0000
38.2372,48.2434,0.0000,0.0000,373.5833,1657.4991,0.0000,0.0000
38.2372,48.2434,0.0000,0.0000,373.5833,1657.4991,0.0000,0.0000
31.9433,40.5262,0.0000,0.0000,294.1497,1260.4054,0.0000,0.0000
26.0942,32.2348,0.0000,0.0000,417.9521,1892.6115,0.0000,0.0000
26.0942,32.2348,0.0000,0.0000,417.9521,1892.6115,0.0000,0.0000
27.6242,32.5383,0.0000,0.0000,241.5889,1065.0315,0.0000,0.0000
29.8017,33.8841,0.0000,0.0000,405.2434,1950.2323,0.0000,0.0000
35.3032,39.1440,0.0000,0.0000,439.3887,1609.6902,0.0000,0.0000
39.7283,43.7986,0.0000,0.0000,436.7259,1331.0339,0.0000,0.0000
41.2235,45.1695,0.0000,0.0000,408.6560,1340.9426,0.0000,0.0000
50.5215,54.8821,0.0000,0.0000,923.5832,3020.1397,0.0000,0.0000
56.4137,60.7707,0.0000,0.0000,591.4153,3100.0379,0.0000,0.0000
63.9831,68.7973,0.0000,0.0000,523.3387,2727.7525,0.0000,0.0000
89.9306,97.3636,0.0000,0.0000,1539.1123,5383.8496,0.0000,0.0000
106.8558,115.5781,0.0000,0.0000,1112.1059,3756.2600,0.0000,0.0000
106.8558,115.5781,0.0000,0.0000,1112.1059,3756.2600,0.0000,0.0000
115.0235,126.3888,0.0000,0.0000,611.5702,2436.7228,0.0000,0.0000
134.8559,151.9952,0.0000,0.0000,1382.0321,4263.4669,0.0000,0.0000
142.4150,163.3684,0.0000,0.0000,995.5383,3380.6142,0.0000,0.0000
142.4297,166.4006,0.0000,0.0000,537.1717,2433.6336,0.0000,0.0000
140.5331,166.2399,0.0000,0.0000,2144.2665,6484.8828,0.0000,0.0000
159.2553,190.7902,0.0000,0.0000,1596.3403,4734.2911,0.0000,0.0000
159.2553,190.7902,0.0000,0.0000,1596.3403,4734.2911,0.0000,0.0000
168.9914,208.0825,0.0000,0.0000,458.7856,2011.1705,0.0000,0.0000
168.9914,208.0825,0.0000,0.0000,458.7856,2011.1705,0.0000,0.0000
209.8899,265.1016,0.0000,0.0000,2055.4307,5345.8844,0.0000,0.0000
223.4966,284.1856,0.0000,0.0000,996.5140,2681.5811,0.0000,0.0000
217.8622,280.2637,0.0000,0.0000,705.3471,2555.4710,0.0000,0.0000
211.2529,272.4402,0.0000,0.0000,1375.9503,3693.7938,0.0000,0.0000
208.4489,269.6436,0.0000,0.0000,398.7423,2263.1956,0.0000,0.0000
192.7614,250.2085,0.0000,0.0000,992.3367,3370.2993,0.0000,0.0000
192.7614,250.2085,0.0000,0.0000,992.3367,3370.2993,0.0000,0.0000
173.1458,222.4446,0.0000,0.0000,1399.6997,4007.1602,0.0000,0.0000
132.7150,165.8380,0.0000,0.0000,1570.0286,4113.4102,0.0000,0.0000
110.3455,136.9305,0.0000,0.0000,1551.3305,3920.0381,0.0000,0.0000
91.4769,111.8731,0.0000,0.0000,1389.2077,3584.2432,0.0000,0.0000
71.1243,85.0745,0.0000,0.0000,1735.9749,3836.4904,0.0000,0.0000
56.8755,66.7095,0.0000,0.0000,1575.9285,3292.3318,0.0000,0.0000
44.8170,51.1380,0.0000,0.0000,1374.0823,2690.2282,0.0000,0.0000
36.4049,41.2790,0.0000,0.0000,1647.7070,3266.0435,0.0000,0.0000
36.4049,41.2790,0.0000,0.0000,1647.7070,3266.0435,0.0000,0.0000
25.1728,28.8745,0.0000,0.0000,1259.9962,2510.8452,0.0000,0.0000
17.5271,21.4113,0.0000,0.0000,813.1704,1717.8066,0.0000,0.0000
17.5271,21.4113,0.0000,0.0000,813.1704,1717.8066,0.0000,0.0000
17.3263,21.8482,0.0000,0.0000,790.7969,1858.2280,0.0000,0.0000
21.1599,26.2744,0.0000,0.0000,716.5906,1587.0284,0.0000,0.0000
26.1922,31.6723,0.0000,0.0000,624.1073,1303.1197,0.0000,0.0000
26.1922,31.6723,0.0000,0.0000,624.1073,1303.1197,0.0000,0.0000
56.6158,64.3713,0.0000,0.0000,939.0331,2359.2355,0.0000,0.0000
71.7640,81.4761,0.0000,0.0000,730.1046,1491.1612,0.0000,0.0000
80.1782,91.5150,0.0000,0.0000,1178.0862,3824.4363,0.0000,0.0000
100.5474,114.1593,0.0000,0.0000,985.5560,2695.7045,0.0000,0.0000
116.0521,131.1790,0.0000,0.0000,783.6598,1648.8782,0.0000,0.0000
119.4352,135.9243,0.0000,0.0000,651.1876,1764.4147,0.0000,0.0000
115.7866,132.2737,0.0000,0.0000,1069.2924,3572.5957,0.0000,0.0000
115.7866,132.2737,0.0000,0.0000,1069.2924,3572.5957,0.0000,0.0000
133.4067,150.8833,0.0000,0.0000,729.0739,2695.1915,0.0000,0.0000
137.6177,158.0606,0.0000,0.0000,454.8392,2029.3723,0.0000,0.0000
135.9580,156.1635,0.0000,0.0000,855.2616,3549.0255,0.0000,0.0000
143.8621,165.3354,0.0000,0.0000,519.2489,2458.8922,0.0000,0.0000
143.3631,165.1568,0.0000,0.0000,461.8954,2004.4181,0.0000,0.0000
138.3938,160.0731,0.0000,0.0000,489.5883,1978.9214,0.0000,0.0000
138.6636,159.5133,0.0000,0.0000,706.1902,2821.9485,0.0000,0.0000
136.7173,158.1015,0.0000,0.0000,582.3273,1961.5927,0.0000,0.0000
128.3363,147.5461,0.0000,0.0000,510.2774,1798.2338,0.0000,0.0000
129.8878,149.6240,0.0000,0.0000,347.0680,1088.8168,0.0000,0.0000
125.1665,144.2097,0.0000,0.0000,536.9628,1832.4057,0.0000,0.0000
115.6642,133.9245,0.0000,0.0000,723.2632,2406.6839,0.0000,0.0000
104.5066,120.2565,0.0000,0.0000,279.7609,1185.1370,0.0000,0.0000
102.6488,118.4895,0.0000,0.0000,540.5661,1737.4436,0.0000,0.0000
102.6488,118.4895,0.0000,0.0000,540.5661,1737.4436,0.0000,0.0000
84.4606,98.4568,0.0000,0.0000,790.1673,2491.4345,0.0000,0.0000
73.8586,86.0406,0.0000,0.0000,495.3271,1990.5778,0.0000,0.0000
67.1805,78.9617,0.0000,0.0000,526.4287,1790.2860,0.0000,0.0000
57.7282,69.1126,0.0000,0.0000,574.9047,1831.2353,0.0000,0.0000
47.6826,57.5396,0.0000,0.0000,549.0333,1746.3842,0.0000,0.0000
40.5415,49.0786,0.0000,0.0000,579.5963,2200.8435,0.0000,0.0000
28.3182,35.7164,0.0000,0.0000,270.2347,1064.9223,0.0000,0.0000
22.7392,29.0719,0.0000,0.0000,213.2938,820.3596,0.0000,0.0000
21.2057,27.1396,0.0000,0.0000,427.6926,1541.3462,0.0000,0.0000
22.1797,27.7824,0.0000,0.0000,258.0584,988.7132,0.0000,0.0000
23.2223,28.4259,0.0000,0.0000,168.6988,704.1480,0.0000,0.0000
26.1364,30.8501,0.0000,0.0000,480.1700,2276.1177,0.0000,0.0000
35.1326,39.1973,0.0000,0.0000,500.8170,2321.5874,0.0000,0.0000
43.2608,47.4514,0.0000,0.0000,394.8461,1773.9259,0.0000,0.0000
43.2608,47.4514,0.0000,0.0000,394.8461,1773.9259,0.0000,0.0000
46.6504,50.9279,0.0000,0.0000,293.5028,1217.7956,0.0000,0.0000
52.5330,63.6441,0.0000,0.0000,677.1165,2029.9194,0.0000,0.0000
61.7704,66.4603,0.0000,0.0000,582.8840,2008.9059,0.0000,0.0000
60.7482,65.3928,0.0000,0.0000,567.0703,2146.9747,0.0000,0.0000
64.9725,69.8305,0.0000,0.0000,1182.7144,3887.1133,0.0000,0.0000
69.0590,74.0421,0.0000,0.0000,747.2177,2983.5863,0.0000,0.0000
75.4089,80.6099,0.0000,0.0000,819.7031,3364.4685,0.0000,0.0000
89.1888,94.5110,0.0000,0.0000,1971.7099,6054.6109,0.0000,0.0000
105.6144,113.2871,0.0000,0.0000,1603.4763,4684.3326,0.0000,0.0000
105.6144,113.2871,0.0000,0.0000,1603.4763,4684.3326,0.0000,0.0000
116.9248,129.1541,0.0000,0.0000,609.3540,2337.0677,0.0000,0.0000
126.1168,141.7316,0.0000,0.0000,1557.9061,4643.6020,0.0000,0.0000
135.5661,154.4442,0.0000,0.0000,1091.6997,3779.2825,0.0000,0.0000
136.9234,159.0946,0.0000,0.0000,579.5810,2493.6079,0.0000,0.0000
131.5678,155.2299,0.0000,0.0000,289.0793,1955.3129,0.0000,0.0000
143.8656,170.3637,0.0000,0.0000,1376.7183,5044.5795,0.0000,0.0000
159.4818,193.4901,0.0000,0.0000,436.0107,1964.3251,0.0000,0.0000
156.6518,191.4457,0.0000,0.0000,521.3465,2431.4679,0.0000,0.0000
176.1361,215.3890,0.0000,0.0000,1655.1666,4321.9546,0.0000,0.0000
187.7519,231.6174,0.0000,0.0000,979.1727,2540.2741,0.0000,0.0000
189.3267,234.9797,0.0000,0.0000,494.6595,1742.8563,0.0000,0.0000
189.3267,234.9797,0.0000,0.0000,494.6595,1742.8563,0.0000,0.0000
192.2762,240.5937,0.0000,0.0000,1261.5635,2753.9366,0.0000,0.0000
193.6185,243.4814,0.0000,0.0000,434.5474,1947.4280,0.0000,0.0000
184.8713,233.8709,0.0000,0.0000,942.6643,3288.1000,0.0000,0.0000
179.1988,226.7318,0.0000,0.0000,913.6073,2848.4402,0.0000,0.0000
165.4104,209.8562,0.0000,0.0000,1440.1693,3851.9096,0.0000,0.0000
147.8668,187.5084,0.0000,0.0000,1684.1004,4351.6118,0.0000,0.0000
121.9285,154.0233,0.0000,0.0000,1746.6744,4362.5331,0.0000,0.0000
121.9285,154.0233,0.0000,0.0000,1746.6744,4362.5331,0.0000,0.0000
100.2541,123.4208,0.0000,0.0000,2101.6721,5015.5215,0.0000,0.0000
65.2579,78.4018,0.0000,0.0000,1600.9953,3919.5173,0.0000,0.0000
51.3095,60.9659,0.0000,0.0000,2076.7456,4924.1597,0.0000,0.0000
36.3652,43.0967,0.0000,0.0000,1512.2575,3526.5978,0.0000,0.0000
29.3434,33.9198,0.0000,0.0000,1217.4103,2707.2557,0.0000,0.0000
22.3302,25.5328,0.0000,0.0000,861.8889,1785.9122,0.0000,0.0000
16.2129,19.2949,0.0000,0.0000,971.7581,2020.0981,0.0000,0.0000
15.4570,18.2696,0.0000,0.0000,502.2547,1017.4539,0.0000,0.0000
18.5268,21.7272,0.0000,0.0000,473.3077,933.1974,0.0000,0.0000
30.1509,33.7314,0.0000,0.0000,825.7160,2268.4012,0.0000,0.0000
41.5806,46.1421,0.0000,0.0000,815.2126,2077.9248,0.0000,0.0000
61.3705,68.3134,0.0000,0.0000,633.5971,1388.4888,0.0000,0.0000
82.1468,91.6553,0.0000,0.0000,1168.3439,3214.6454,0.0000,0.0000
99.0670,110.4774,0.0000,0.0000,1006.2191,2153.5905,0.0000,0.0000
107.9593,120.6737,0.0000,0.0000,781.1670,1564.8366,0.0000,0.0000
109.2953,122.7009,0.0000,0.0000,576.2835,1712.2972,0.0000,0.0000
138.7626,156.0273,0.0000,0.0000,628.5813,2315.9944,0.0000,0.0000
140.1955,158.7221,0.0000,0.0000,369.0268,1838.4491,0.0000,0.0000
139.7332,157.7225,0.0000,0.0000,998.1655,3976.7752,0.0000,0.0000
150.7839,171.3737,0.0000,0.0000,741.1733,3242.1854,0.0000,0.0000
153.0354,175.1411,0.0000,0.0000,522.1927,2452.4095,0.0000,0.0000
146.8497,168.7730,0.0000,0.0000,503.4669,2083.4066,0.0000,0.0000
149.5491,170.5536,0.0000,0.0000,1016.2369,4237.5643,0.0000,0.0000
149.5491,170.5536,0.0000,0.0000,1016.2369,4237.5643,0.0000,0.0000
157.9890,180.5693,0.0000,0.0000,729.1805,2130.7408,0.0000,0.0000
147.6555,168.5637,0.0000,0.0000,492.8432,2517.4347,0.0000,0.0000
153.8884,174.9565,0.0000,0.0000,505.0070,1661.2449,0.0000,0.0000
152.9286,174.3188,0.0000,0.0000,701.6426,1583.4030,0.0000,0.0000
140.9810,161.1489,0.0000,0.0000,947.2813,2494.3289,0.0000,0.0000
127.5246,147.0036,0.0000,0.0000,1034.7936,3079.0658,0.0000,0.0000
122.8307,140.5079,0.0000,0.0000,525.3700,1630.0794,0.0000,0.0000
114.0913,130.5630,0.0000,0.0000,734.4522,2358.4506,0.0000,0.0000
101.3426,116.2048,0.0000,0.0000,835.0618,2735.5057,0.0000,0.0000
89.0354,103.1810,0.0000,0.0000,487.5330,2047.9895,0.0000,0.0000
81.7140,95.2918,0.0000,0.0000,582.7388,2075.7955,0.0000,0.0000
69.6078,82.5803,0.0000,0.0000,638.2838,2233.2305,0.0000,0.0000
59.1076,69.7466,0.0000,0.0000,610.4221,2151.8425,0.0000,0.0000
52.5480,62.8075,0.0000,0.0000,414.1923,1929.9496,0.0000,0.0000
46.2024,55.5760,0.0000,0.0000,369.6555,1565.5930,0.0000,0.0000
46.2024,55.5760,0.0000,0.0000,369.6555,1565.5930,0.0000,0.0000
39.0796,47.0711,0.0000,0.0000,331.1824,1277.3464,0.0000,0.0000
32.2565,38.7072,0.0000,0.0000,391.5717,1435.5943,0.0000,0.0000
28.6035,34.8297,0.0000,0.0000,285.8410,1068.1397,0.0000,0.0000
25.9274,31.4197,0.0000,0.0000,236.6177,920.6916,0.0000,0.0000
25.3440,30.1734,0.0000,0.0000,655.8116,2425.1829,0.0000,0.0000
27.6433,32.2995,0.0000,0.0000,466.2377,1694.1185,0.0000,0.0000
31.5375,36.1058,0.0000,0.0000,269.1023,1071.1648,0.0000,0.0000
38.0928,42.0450,0.0000,0.0000,531.8536,2397.1560,0.0000,0.0000
47.1026,51.4101,0.0000,0.0000,462.6035,2025.1920,0.0000,0.0000
52.1461,56.7338,0.0000,0.0000,371.5200,1545.1233,0.0000,0.0000
53.4484,58.0828,0.0000,0.0000,463.3240,1462.9521,0.0000,0.0000
61.0042,65.3799,0.0000,0.0000,1063.7528,3275.7994,0.0000,0.0000
67.2544,72.1633,0.0000,0.0000,873.4145,2905.3815,0.0000,0.0000
73.6659,78.6823,0.0000,0.0000,1665.9027,5387.8793,0.0000,0.0000
84.5640,91.0486,0.0000,0.0000,1201.0668,4178.7388,0.0000,0.0000
91.9477,100.0850,0.0000,0.0000,798.6546,3399.8570,0.0000,0.0000
99.7283,108.5067,0.0000,0.0000,981.4945,4494.4103,0.0000,0.0000
99.7283,108.5067,0.0000,0.0000,981.4945,4494.4103,0.0000,0.0000
115.3133,122.5065,0.0000,0.0000,1950.6353,7452.0429,0.0000,0.0000
165.3422,178.8601,0.0000,0.0000,1280.1421,3841.0525,0.0000,0.0000
171.7408,187.8367,0.0000,0.0000,806.8591,2375.8024,0.0000,0.0000
189.5195,209.4455,0.0000,0.0000,2085.7998,6132.5686,0.0000,0.0000
206.8300,231.2568,0.0000,0.0000,1283.3911,4711.5812,0.0000,0.0000
